id,gid,name,precision,vintage
8227,1666677194,Circuit no Ohkami II: Modena no Tsurugi,OAV,1990-12-21
8224,2456648865,Kishin Dōji Zenki Gaiden: Anki Kitan,OAV,1997-03-21
8222,3265022265,Dengeki Oshioki Musume Gōtaman R: Ai to Kanashimi no Final Battle,OAV,1994-10-24
8221,2515425280,Dengeki Oshioki Musume Gōtaman: Gōtaman Tanjō-hen,OAV,1994-05-24
8219,1424666572,Sin Karate Jigokuhen: Kessen no Kado,OAV,1990-12-21
8217,1930726296,Sin Karate Jigokuhen: Chi no Mokushiroku,OAV,1990-11-01
8216,2354223734,Chinpui: Eri-sama Katsudō Daishashin,movie,1990-03-10
8215,2669419738,Tistou Midori no Oyayubi,movie,1990-03-24
8214,465275741,Heavy,movie,1990-04-14
8212,1215946023,Hidari no O'Clock!!,OAV,1990-02-05
8211,520640951,Umezu Kazuo no Noroi,OAV,1990-03-01
8210,1659285698,Kimikiss pure rouge,TV,2007-10-06 to 2008-03-22
8209,2754147598,Tokyo Majin Gakuen Kenpucho: Tou 2nd Act,TV,2007-07-27 to 2007-10-12
8195,4016822016,Indian Summer,OAV,2007-10-14
8194,1302222502,Yotsunoha,OAV,2008-02-29
8193,1655230843,Kamen no Maid Guy,TV,2008-04-05
8192,1689994885,ef: a tale of memories,TV,2007-08-24
8191,916913353,Nanbo no Monjai! Yankee Gurentai,OAV,1992-12-21
8190,1951448928,Mobile Suit Gundam 00,TV,2007-10-06 to 2008-03-29
8186,1799493811,Onmyōji: Yōen Emaki,OAV,2003-09-25
8185,2108530901,Night Shift Nurse: Ren Nanase,OAV,2005-12-04
8184,2382705996,Anime Kazama Mana,OAV,2006-08-17
8183,3142327674,Sleazy Daughter,OAV,2005-07-29
8182,181272955,Shugo Chara!,TV,2007-10-06 to 2008-09-27
8181,1398787807,Midoriyama Kōkō Kōshien-hen,movie,1990-06-30
8179,1559909217,Midoriyama Kōkō Kōshien-hen,OAV,1989-09-25 to 1990-12-16
8175,2146447466,Supreme Hecate-tan,OAV,2006-10
8174,2748826002,Shakugan no Shana-tan Returns,OAV,2006-05-25
8173,1642496221,Shakugan no Shana-tan,OAV,2006-01-25
8172,1191383740,Strait Jacket,OAV,2007-11-25
8160,1556330713,Immoral,OAV,2005-04-29
8159,1324296605,Cosplay Cafe,OAV,2004-03-25
8158,2045635542,Keibiin,OAV,2000-11-24
8152,1454030825,You're Under Arrest: Full Throttle,TV 3,2007-10-04
8151,3924964339,Kimi ga Aruji de Shitsuji ga Ore de,TV,2008-01-05 to 2008-03-29
8138,1830736188,Shion no Oh,TV,2007-10-13 to 2008-03-22
8137,862592750,Buzzer Beater,TV 2007,2007-07-03 to 2007-09-25
8120,2549504162,Yes! Precure 5: Kagami no Kuni no Miracle Daibōken!,movie,2007-11-04
8108,2027815457,Treasure Gaust,TV,2007-06-11
8104,2666399227,Do You Know the MILFing Man?,OAV,2006-05-25
8103,2403990239,Trouble Evocation,OAV,1996-03-08
8092,3033625138,D.C. II: Da Capo II,TV,2007-10-01 to 2007-12-24
8078,1595488608,Hitō Meguri The Animation,OAV,2006-03-24
8077,1524460947,Holy Sleazy School,OAV,2007-06-25
8076,1020104239,Magical Witch Academy - Boku to Sensei no Magical Lesson - The Animation,OAV,2007-06-22
8075,1319255343,Rensa Byōtō,OAV,2007-06-25
8074,1737004709,Oh! My Sex Goddess,OAV,2007-07-25
8073,2883551830,Ride of the Valkyrie,OAV,2004-12-24
8072,868221380,Jiburiru: Second Coming,OAV,2007-05-25
8071,1429020180,Hatsuinu The Animation,OAV,2007-05-25
8070,198066726,Kateikyōshi no Onee-san The Animation - H no Hensachi Agechaimasu,OAV,2007-04-27
8069,1807577980,Enyoku,OAV,2007-04-25
8068,3037278042,Learning the Hard Way,OAV,2007-04-25
8067,533199055,Monkey Punch no Sekai Alice,OAV,1991-12-13
8066,3659678084,Pleasure Commute,OAV,2007-05-25
8065,3011645598,Inda no Himekishi Janne The Animation,OAV,2007-01-26
8064,2670835139,Moyashimon,TV,2007-10-11 to 2007-12-20
8056,429139790,Horny Ladies and the News,OAV,2007-02-09
8055,2399551162,Karma Saiyuki,OAV,2007-02-23
8054,2024875446,Dirty Laundry,OAV,2007-02-25
8053,2312777617,Free Zone,OAV,2007-03-25
8049,2279864286,Rideback,TV,2009-01-11
8045,675447604,Happy Happy Clover,TV,2007-07-06
8042,1759323250,My Classmate's Mother,OAV,2007-04-13
8041,2004969873,Offside Girl,OAV,2007-04-25
8040,3189071183,Erotic Adventures of Tom Thumb!,OAV,2007-06-08
8039,1059219908,Pururun! Shizuku-chan,TV,2006-10-07
8038,244840405,Eagle Talon The Movie - The Chancellor Only Lives Twice,movie,2007-03-17
8037,2698089458,Chibi Kero,movie,2007-03-17
8035,1613874581,World of GOLDEN EGGS,TV,2005
8034,2879161173,Moetan,TV,2007-07-06
8033,2249945347,Rental Magica,TV,2007-10-07 to 2008-03-23
8032,1443788506,Good Luck! Ninomiya-kun,TV,2007-10-04 to 2007-12-20
8031,2971047000,Sketchbook ~full color'S~,TV,2007-10-01 to 2007-12-24
8017,1969080077,Naruto Shippūden,movie,2007-08-04
8004,1441499791,Kowaremono II,OAV,2001-08-25
7998,3481631749,Time of Eve,ONA,2008-07-31 to 2009-09-19
7993,1619912831,Legend of the Pervert,OAV,2006-08-11
7991,3318324703,Hells,movie,2008-10
7989,2313653790,Kōkō Butō Den Crows,OAV,1994-01-28
7986,2037551599,Initial D: Battle Stage 2,OAV,2007-05-30
7985,2941429925,Genshiken 2,TV,2007-10-09 to 2007-12-25
7983,1860817850,Captain,movie,1981-07-18
7980,1827879538,Zenmai Zamurai,TV,2006-04-03 to 2009-02-06
7979,2677787036,Mottai Nai Nai - Muppi to Issho,TV,
7978,1231864386,Mahō Shokudō Charapontan,TV,2006
7966,2397214875,Shinseiki Duel Masters Flash,TV,2006-04-10 to 2007-03-23
7965,2505165380,Duel Masters Charge,TV,2004-04-19 to 2006-03-27
7964,1058079262,Zero Duel Masters,TV,2007-04-09 to 2007-09-28
7961,939120726,Saru Getchu ~On Air~ 2nd,TV,2006-10-07
7960,1964325870,Sukima no Kuni no Polta,TV,2005-09-15 to 2007-07-19
7959,2681530272,Fantascope ~tylostoma~,OAV,2006-08-01
7958,2981021768,Gendai Kibunroku - Kaii Monogatari,OAV,2006-08-01
7957,3764257581,Joseito,OAV,2006-08-01
7956,2847575338,Zakuro Yashiki,OAV,2006-08-01
7954,2271169879,Highway Jenny,OAV,2006-09-27
7953,148953625,Red Colored Elegy,OAV,2007-06-21
7952,3248194257,Tennis no Ouji-sama: Zenkoku Taikai-hen Semifinal,OAV,2007-06-22
7951,2982238591,Rockman.EXE Beast+,TV,2006-04-08 to 2006-09-30
7921,2520504979,Miyori in the Sacred Forest,special,2007-08-25
7913,1469042998,SOS! Tokyo Metro Explorers: The Next,movie,2007-05-19
7897,2727491199,Nezumi Monogatari - George to Gerald no Bōken,movie,2007-12-22
7896,1697571628,Cinnamon the Movie,movie,2007-12-22
7895,612901382,Happy Lucky Bikkuriman,TV,2006-10-15
7891,1027318519,Armored Trooper Votoms: Pailsen Files,OAV,2007-10-26
7890,1285919243,Mononoke,TV,2007-07-12
7887,3580892152,Tojin Kit,movie,2008-02-15
7886,3640558142,Doorbell,movie,2007
7881,1438693477,Spider Riders: Yomigaeru Taiyou,TV,2007-04-14
7868,3802102413,Story of Saiunkoku Second Series,TV 2,2007-04-07 to 2008-03-08
7867,1769608754,Kite Liberator,OAV,2008-03-21
7866,1345128987,Onegai My Melody Sukkiri,TV,2007-04-01
7865,3751369316,Dottinisuru?,movie,1999
7864,1685770774,Babel's Book,movie,1996
7863,899526060,Kid's Castle,movie,1995
7862,2819925201,Elevator,movie,1991
7861,3071720370,Perspektivenbox,movie,1990
7860,1355535652,Hyakka Zukan,movie,1989
7859,1793363530,Aquatic,movie,1987
7858,3006357010,Old Crocodile,movie,2005
7857,1982863123,Yasai no Yōsei - N.Y. Salad,TV,2007-04-05
7856,1498527727,Toki-iro Kaima,OAV,1989-04-20 to 1990-02-25
7855,2261256603,Shisukon Ouji,TV,1963-12-20 to 1964-03-27
7854,2977918553,Hello! Spank,movie,1982-03-13
7853,1782873595,Wonderful Adventures of Nils,movie,1982
7851,3180608561,Tonari no Tamageta-kun,TV,1974-04-05 to 1975-06-27
7848,728656952,A-Girl,OAV,1993-09-24
7847,2689668132,Shakugan no Shana Second,TV,2007-10-04 to 2008-03-27
7846,2171704083,Dead Girls,OAV,2007-08-04
7845,1844714664,Kakyūsei 2: Sketchbook,OAV,2007-05-25
7844,2354800130,Anime Rakugo Kan,OAV,1992-07-05
7843,2147740112,Super Sexy Android,OAV,2001-06-15
7842,3128094761,Close the Last Door,OAV,2007-03-23
7841,2428146421,Rozen Maiden: Detective Kun-Kun,special,2006-04-27
7840,595799080,Darcrows,OAV,2003-10-25
7839,720034340,Soreike! Anpanman: Baikinman no Gyakushuu,movie,1990-07-07
7838,1640699673,Pokémon Mystery Dungeon: Team Go-Getters Out of the Gate!,special,2006-09-08
7837,1910033827,Naruto: Konoha Sports Festival,movie,2004-08-21
7836,2020507309,Inyōchū,OAV,2006-10-31
7835,424706330,Seifuku Shojo,OAV,2004-02-27
7834,2917270987,Be Lifesized My Lover - Mechanic Minami vs. Human Minami,OAV,2001-10-26
7833,2024571280,Invisible Stud,OAV,2006-02-10
7832,2977330217,Tokumu Sōsakan Rei & Fuko,OAV,2006-10-20
7831,2051190956,Himekishi Lilia,OAV,2006-05-26
7830,1928837562,Taimanin Asagi,OAV,2007-02-24
7829,3821956192,Zero no Mono,OAV,2001-10-21
7828,954916247,Vicious,OAV,2001-01-18
7826,3873402521,"Milky Passion: Dogenzaka, Ai no Shiro",OAV,1990-06-23
7825,2720739399,Zombie-Loan,TV,2007-07-03
7824,2654482150,Medical Humiliation,OAV,2006-07-14
7823,1799317701,Pocket Monsters: Pikachu no Fuyuyasumi,OAV,1998-12-22
7822,2633247651,Be Rockin',ONA,2006-05-30 to 2006-06-06
7820,2959160739,Hatenkō Yūgi,TV,2008-01-04 to 2008-03-07
7819,2237901737,Dragonaut - The Resonance,TV,2007-10-03 to 2008-03-26
7818,857186944,Aria the OVA ~Arietta~,OAV,2007-09-21
7817,3461400750,Ghost Hound,TV,2007-10-18 to 2008-04-03
7816,1116948028,Sky Girls,TV,2007-07-05 to 2007-12-27
7815,2344742076,School Days,TV,2007-07-03 to 2007-09-27
7814,1373987418,Ponyo on the Cliff by the Sea,movie,2008-07-19
7812,3590666163,Vexille - 2077 Isolation of Japan,movie,2007-08
7811,3026730997,Shigurui: Death Frenzy,TV,2007-07-01
7809,1549696063,Clannad,TV,2007-10-04 to 2008-07-16
7807,867049125,Ogami Matsugoro,OAV,1989-12-16
7806,3550113264,Scoopers,OAV,1987-12-01
7805,691925203,Okawari-Boy Starzan S,TV,1984-01-07 to 1984-08-25
7802,2901043891,Kenko Zenrakei Suieibu Umisho,TV,2007-07-03 to 2007-09-25
7801,2753231914,Iblard Jikan,OAV,2007-07-04
7800,342033109,Aquatic Language,special,2002-10-26
7799,2411915446,Kiddy Grade: Ignition,movie 1,2007-04-07
7798,1794463714,Kyo kara Maoh! R,OAV,2007-10-26
7794,1998123289,Demon Beast Resurrection,OAV,1995-11-17
7793,3751296734,Night Shift Nurse: Yagami Yu,OAV,2006-12-21
7792,2466410785,Ramayana: The Legend of Prince Rama,movie,1993
7767,3566138842,Sayonara Zetsubou-sensei,TV,2007-07-07 to 2007-09-22
7765,2018585564,Dojin Work,TV,2007-07-03 to 2007-09-18
7764,689275950,Summer Days with Coo,movie,2007-07-28
7751,2505843837,Robby & Kerobby,TV,2007-04-01
7738,1044655210,Bakugan Battle Brawlers,TV,2007-04-05 to 2008-03-27
7716,1815796727,Mushi-Uta,TV,2007-07-05 to 2007-10-04
7699,2626893793,Cholo Q Dougram,movie,1983-07-09
