id,plot_summary,num_episodes,title
26891,Middle school student Komura falls head-over-heels for his classmate with terrible eyesight. <em class=de-emphasized>(from manga)</em>,,Girl I Like Forgot Her Glasses
26890,"At the high school entrance ceremony, a band performs for the incoming freshman. One student, Himari, ""falls"" for the band's vocalist Yori. When she encounters Yori at the shoe locker she ""confesses"", thinking that she's just become an avid fan. Yori misinterprets Himari's confession of love for her music and genuine romance and so begins a story of misunderstandings. <em class=de-emphasized>(from manga)</em>",,Whisper Me a Love Song
26825,"Surviving a zombie apocalypse beats being a wage slave any day. After spending years slaving away for a soul-crushing company, Akira's life has lost its luster. He lives in a trash-filled apartment, his pay is abysmal, and he can't even muster up the nerve to confess his love to his beautiful co-worker. But when a zombie apocalypse ravages his town, it gives him the push he needs to live for himself. Now Akira's on a mission to complete all 100 items on his bucket list before he...well, kicks the bucket. <em class=de-emphasized>(from manga)</em>",,Zom 100: Bucket List of the Dead
26817,"Shut-in vampire Terakomari, or Komari for short, awakens from her slumber to find she's been promoted to a commander of the army. The thing is, though, her new squad has a reputation for being violently insubordinate. And although Komari was born to a prestigious vampire family, her hatred of blood has made her the picture of mediocrity—scrawny, uncoordinated, and inept at magic. With the odds stacked against her, will the help of her trusty maid be enough for this recluse to blunder her way to success. <em class=de-emphasized>(from manga)</em>",,Vexations of a Shut-In Vampire Princess
26745,"This unusual duo brings the hidden truth into the light. Ron Kamonohashi, a private investigator with serious issues, and Totomaru Ishiki, a pure-hearted but dim police detective, team up to solve the most baffling mysteries. <em class=de-emphasized>(from manga)</em>",,Ron Kamonohashi: Deranged Detective
26733,"The story of how three young firefighters destined to save Japan grow in spirit. Daigo Toake burns with remarkable talent and unparalleled determination. Shun Onoda struggles against the walls blocking his own path. Yuki Nakamura hopes to become one of the few female members of the special rescue corps known as ""Orange."" When these three young firefighters who share the goal of becoming members of Orange come together, the story of how Japan will one day be saved begins... and what looms before them is a crisis that endangers the entire country.",,Firefighter Daigo: Rescuer in Orange
26728,"Prince Oscar has been cursed since childhood to never have a child of his own, and he seeks out the calamitous witch Tinasha to find a way to break the curse, braving the trials of her tower. When they meet, Tinasha reveals that she has a strange connection to Oscar, and a curious courtship begins between them that threatens to shake the power structures of their world. <em class=de-emphasized>(from manga)</em>",,Unnamed Memory
26725,"Ordinary office worker Rei Oohashi wakes up in the body of the protagonist of her favorite otome game, <cite>Revolution</cite>. To her delight, the first person to greet her is also her favorite character, Claire Francois–the main antagonist of the story. Now, Rei is determined to romance Claire instead of the game's male leads. <em class=de-emphasized>(from manga)</em>",,I'm in Love with the Villainess
26654,"After Dai Star stage performers exploded in worldwide popularity in the 20th century, 16-year-old Kokona Ōtori follows her dream of becoming a World Dai Star by auditioning for the Sirius theatrical troupe.",,Stella of the Theater: World Dai Star
26571,"One lonely, gloomy fifth-grade girl is the target of her classmates' relentless bullying and teasing—that is, until a new kid arrives on the scene. Friendly Takada is as clueless as he is well-meaning, but somehow he possesses the magic ability to start drawing ""Grim Reaper"" Nishimura out of her shell. As the elementary schoolers experience all the fun of a childhood summer together—from going to the pool to picking sunflowers to watching fireworks—an unusual friendship blossoms. <em class=de-emphasized>(from manga)</em>",,My Clueless First Friend
26567,"It's a showdown for the ages as the legendary hero takes on the corpse god necromancer, but when the dust settles, something isn't quite right. In the final moments of their epic confrontation, the corpse god's final gambit shot was wholly unexpected -- reincarnation magic. Across space and time, a boy named Polka Shinoyama awakens feeling not quite himself. <em class=de-emphasized>(from manga)</em>",,Dead Mount Death Play
26556,"Kizuna Ai appeared like a comet in the virtual world, becoming massively popular in the blink of an eye. After five consecutive years of gracing the Lapin Doll—the highest honor of the Virtual Grid Awards—she disappeared as quickly as she came. Several months have passed since then. ADEN Academy is a school that specializes in training new talent who will make their debut in the virtual world. There, students each with their own hopes and dreams work hard every day. A young girl named Miracle enrolls in ADEN Academy with this conviction in her heart. There, she'll meet all kinds of people and make wonderful new memories with them as they each pursue their dreams.",,Kizuna no Allele
26555,"Young Ivy can't catch a break. Though she has a few memories of her past life, she was reborn into an RPG-like world in the weakest class, and worse, as the weakest rank. As a no-star Tamer, even her parents want nothing to do with her, and she soon realizes she must survive on her own. She learns to live off the land and salvage what she can from other people's leavings. But when Ivy manages to tame Sora, a lowly slime, everything changes for both of them. There's something special about this frail little monster, and Ivy's care will bring out the best in both of them. <em class=de-emphasized>(from manga)</em>",,Weakest Tamer Began a Journey to Pick Up Trash
26519,"Tsuyoshi Mukōda was nothing special in modern Japan, so when he was summoned to a world of swordplay and sorcery, he thought he was ready for the adventure of a lifetime. Too bad the kingdom that summoned him only got him by mistake. Not only was he not one of the three summoned heroes, but his stats were laughable compared to theirs. On top of that, there's something really sketchy about this kingdom. He immediately left to make his own way in this other world. The only thing Mukōda can rely on is his unique skill: the ""Online Supermarket,"" a skill that allows him to buy modern goods in a fantasy world. It's useless for combat, but if he plays his cards right, he could lead a comfortable life. At least, that's what Mukōda thinks, but it turns out modern food bought with this skill has some absurd effects. Mukouda introduces ridiculously tasty modern cooking to a fantasy world and gets some ridiculous repeat customers begging for more. <em class=de-emphasized>(from manga)</em>",,Campfire Cooking in Another World with My Absurd Skill
26508,"Fate Graphite has never tasted real power. Born with the magical skill Gluttony, he constantly hungers in a way that can’t be satiated, and has been shunned and looked down upon his entire life. One day, while working as a gatekeeper for a noble family and fighting a trespassing thief, he discovers Gluttony’s true power: when he kills someone, he devours their skills and feeds his gnawing hunger at last. In that grisly realization, Fate is awakened to his true potential. <em class=de-emphasized>(from manga)</em>",,Berserk of Gluttony
26507,"Pride Royal Ivy is only eight years old when she realizes that she's been reincarnated, destined to become the future wicked queen and final boss of an otome game. She's got it all in this new life: razor-sharp wit, boss-tier powers, and influence over the kingdom as crown princess. Princess Pride decides to drop the maniacal villainess plan and protect the male love interests instead, cheating her way to saving everyone she can. <em class=de-emphasized>(from manga)</em>",,Most Heretical Last Boss Queen: From Villainess to Savior
26494,"High school boy Tsubasa moves to Kitami City up in Hokkaido, where he meets a ""gal"" at a bus stop. The sight of her standing alone against the white snowscape, bare-legged despite the freezing cold, captures his heart. <em class=de-emphasized>(from manga)</em>",,Hokkaido Gals Are Super Adorable!
26493,"Iko is a 3rd grade elementary school student who lives with his four older brothers in an old house in Taiyama. There are no parents in the household. According to his brothers, their mother is off working in Tokyo, so they are raising their much younger brother themselves. However, Iko's older brothers have a secret, they are actually immortal sorcerers with an almost eternal lifespan. This is the story of why they became the older brothers of Iko, how Iko is dragged into their whimsical world of magic, and of their summer vacation together as a family.",6,FLAGLIA
26480,"Assassins Kazuki Kurusu and Rei Suwa meet Miri, a girl looking for her father on Christmas Day. Kazuki, Rei, and Miri unexpectedly end up living together.",,Buddy Daddies
26473,"Tokio lives with other children inside a world surrounded by a beautiful wall, but one day he receives a message asking him if he wants to go outside. Meanwhile, a boy named Maru travels with an older woman, eking out a meager existence in a ruined world as they search for ""paradise."" <em class=de-emphasized>(from manga)</em>",,Heavenly Delusion
26438,"Isaku never asked to be the daughter of a yakuza boss, but when her parents died in a car accident when she was 5, her gangster grandfather took her in and raised her as part of the clan. After years of being avoided by her schoolmates because of her family ties, Isaku is finally ready to make her high-school debut, live a normal life, and maybe even find love...until loyal family servant and Isaku's dedicated guardian, 26-year-old Keiya, enters high school right alongside her and vows to protect her from all of the above. Now she's got a chain-smoking, pistol-wielding knight-in-shining-armor to deal with. <em class=de-emphasized>(from manga)</em>",,Girl & Her Guard Dog
26399,"Raizo Kurima is a man who was betrayed by someone he trusted, and now he has no place to return. He is now a hitman working for the organization Revenger, which takes revenge on behalf of those who have no power. He works at the ""Ribenjiya"" store that acts as a general store on the outside while hiding the Revenger organization beneath the surface. His coworkers include a physician with destructive impulses, a beautiful and androgynous young man who is both cruel and innocent, a gambler who loves money and alcohol, and an intelligent lacquer craftsman. The five men start to build a strange friendship by working together.",,Revenger
26396,"The great beasts created the land, but humans stole it. Angered, the beasts began eating humans, who, in turn, called upon the gods to fight the beasts. In the age of the sword, heroes, and mythology, giant beasts are hunted by humans for profit. Jiro, who makes his living hunting beasts, encounters Kuumi, who is being chased by someone, and at that moment, decides to save her. As rumors spread about humanity and a mysterious experiment, they seek to discover the world's secrets.",,Giant Beasts of Ars
26395,"Liza Luna has been dispatched to Earth by the space empire Azatos. At first, she thought that it would be fine to destroy the Earth, since it has a low level of civilization. However, after stopping at a café, she encounters a cat and is shocked by her cuteness. <em class=de-emphasized>(from manga)</em>",,Too Cute Crisis
26381,"Akira Kiyose, who sings on a video streaming site under the singer name ""KIKUNOYU."" One day the talent agency sMiLea Production scouts him. sMiLea is an agency founded by the retired legendary idol pair AneLa to train new budding idols. Akira then forms an idol group with Banri Naoe and Chihiro Isuzugawa, who were also scouted. Their new group, Protostar, will have their debut alongside other new idol groups with sMiLea Production: Legit and Jaxx Jaxx.",,UniteUp!
26380,"Akane Kinoshita is a female university student who just got dumped by her boyfriend after he cheated on her with a woman he met in an online game. Akane is left with just her game character in the online game Forest of Savior (FOS) that she started to share her boyfriend's interests. While she was blowing off steam in the game's hunting ground, she happened upon ""Yamada"" who was from the same guild as her. She started complaining about her failed relationship only to be met with a cold ""I'm not interested"". When she then joined an offline meeting in an attempt to look pretty and make her ex regret dumping her, she hears those exact same words once again. This is her fated meeting with Akito Yamada.",,My Love Story With Yamada-kun at Lv999
26300,"When Hayato's grandmother passed, he planned to sell her rundown café on the shore—not realizing that it was also home to five young women who call themselves her family. Their desperation to keep the café open convinces Hayato to give it a shot...but even their best intentions might not be enough to make it work. <em class=de-emphasized>(from manga)</em>",,Café Terrace and Its Goddesses
26286,"Surrounded by the hate-filled gazes of her people, the selfish princess of the fallen Tearmoon Empire, Mia, takes one last look at the bleeding sun before the guillotine blade falls. Only to get another chance as a twelve-year-old. With time rewound and a second chance at life dropped into her lap, she sets out to right the countless wrongs that plague the ailing Empire. Hard work and Mia don't mix, so she seeks out the aid of her loyal maid, Anne, and the brilliant minister, Ludwig. <em class=de-emphasized>(from manga)</em>",,Tearmoon Empire
26234,"A door to another world stretches out before a boy who's been brutally bullied all his life. This alternate reality grants him access to all sorts of things, like cheat skills and a portal that lets him travel between his old and new worlds. Can this class loser turn his life around back home... <em class=de-emphasized>(from manga)</em>",,I Got a Cheat Skill in Another World
26209,"Despite her supposed ineptitude with regular magic, Princess Annisphia defies the aristocracy's expectations by developing “magicology,” a unique magical theory based on memories from her past life. One day, she witnesses the brilliant noblewoman Euphilia unjustly stripped of her title as the kingdom's next monarch. That's when Annisphia concocts a plan to help Euphilia regain her good name—which somehow involves them living together and researching magic. Little do these two ladies know, however, that their chance encounter will alter not only their own futures but those of the kingdom...and the entire world. <em class=de-emphasized>(from manga)</em>",,Magical Revolution of the Reincarnated Princess
26208,Veteran solo camper Kensuke forms a camping group with four girls. <em class=de-emphasized>(from manga)</em>,,Harem Camp!
26195,"The knight Laios sets out with a skilled party to claim the treasure of a lost kingdom buried deep beneath the graveyard of a small village. Unfortunately, they were bested by a Flame Dragon, who ate Laios's little sister, Farin. Although the party managed to teleport out of the dungeon, they left their equipment behind and were penniless. Demoralized, the party broke up. Now Laios must tackle the dungeon again, and with only one month to save Farin before she is digested. <em class=de-emphasized>(from manga)</em>",,Delicious in Dungeon
26186,"The protagonist was a vending machine otaku in his past life, having died protecting vending machines from traffic accidents. When he awakens, he finds himself on a lakeshore and confused about what happened. He knows only one thing, now he's a vending machine. He meets a girl outside of a labyrinth in this new world, and his story starts to progress. <em class=de-emphasized>(from manga)</em>",,"Reborn as a Vending Machine, I Now Wander the Dungeon"
26178,"Shiina Kazuya is a young man who one day gets stabbed trying to protect a friend. However, instead of dying, he wakes up in the body of a young 3-year-old aristocrat named Cain von Silford, in a world of magic and swords. Being looked after by the gods that brought him to this world, Cain has been gifted immense magical power that he must keep secret from everyone as he learns how to control said power for an inevitable destiny that he must soon face.",,Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far
26168,"Kyotaro Ichikawa, a boy barely clinging to the bottom rung of his school’s social ladder, secretly believes he’s the tortured lead in some psychological thriller. He spends his days dreaming up ways to disrupt his classmates’ peaceful lives and pining after Anna Yamada, the class idol. But Kyotaro’s not nearly the troubled teen he pretends to be…and it turns out Anna’s a bit odd herself. <em class=de-emphasized>(from manga)</em>",,Dangers in My Heart
26137,"One day, Mitsuha falls off a cliff and is transported to a medieval Europe–type world. After a near-death encounter with a pack of wolves, she then realizes that she's able to transport between two worlds—this one and her own. Taking advantage of this ability, Mitsuha decides to live in both worlds and calculates that she'll need 80,000 gold coins to be able to retire. Mitsuha now has to come up with different ways to collect her gold coins. <em class=de-emphasized>(from manga)</em>",,"Saving 80,000 Gold in Another World for My Retirement"
26120,"Even though Sasaki’s droll corporate life is constantly filled with work, it leaves him tired and unfulfilled at the end of every day. In search of some companionship to fill the emptiness in his life, he visits a pet shop on a whim, not realizing he’s about to change his life forever. After settling on an adorable bird and bringing it home...his new roommate reveals that it’s actually an incredible sage from another world who promptly bestows Sasaki with supernatural powers as well as the ability to cross between worlds. All Sasaki wants to do is use these newfound powers to live in peace and comfort, but there are more than a few colorful characters who might get in the way of that... <em class=de-emphasized>(from manga )</em>",,Sasaki and Peeps
26097,"Dariel is a soldier in the Dark Lord's army who cannot use magic. Instead, he wields his intellect and initiative as an assistant to one of the Dark Lord's most trusted captains. But when the captain is summarily replaced, Dariel also loses his privileged position and is fired. In disappointment, he retires in a village of humans, getting a new start in life by using his abilities to accept requests for help.",,Chillin' in My 30s after Getting Fired from the Demon King's Army
26073,"The protagonist ""Ore-kun"" is reincarnated into a dummy head microphone (a microphone embedded in a fake human head to faithfully record the aural ambience). That dummy head microphone happens to be used by Yuri and other high school girls in an ASMR club, who have their sights set on the ""ASMR Kōshien"" high school championships.",,Aru Asa Dummy Head Mike ni Natteita Ore-kun no Jinsei
26018,"After a mysterious death, failed university student Rinko wakes up as ""Raeliana"", the daughter of a wealthy family in a novel she has read. However, Raeliana is a minor character who is destined to get killed by her fiancé in the near future. Armed with her knowledge of the novel's plot, Raeliana/Rinko sets out to break off the engagement. Her plan brings her to the most powerful duke in the country and the novel's male lead character, Noah, with a deal; ""Pretend to be my fiancé, just for the next six months.""",,Why Raeliana Ended Up at the Duke's Mansion
26002,"Tomo and Jun have been best buds since they were little kids, but now that they're in high school, Tomo wants to be more than friends...... too bad Jun just sees her as 'one of the guys.' Tomo may be a tomboy, but she's determined to prove to Jun that she's a woman, too. <em class=de-emphasized>(from manga)</em>",13,Tomo-chan Is a Girl!
25997,"This is a world of magic where magic is used for everything. But deep in the forest exists a young man who spends his time training and bulking up. He can't use magic, but he enjoys a peaceful life with his father. His muscular body will have to protect him from the magic users who are out to get him. <em class=de-emphasized>(from manga)</em>",,Mashle: Magic and Muscles
25951,"Wisteria is an orphan girl living in a corner of the British Empire at the end of the 19th century. Her life is desolate and bleak–until she encounters Marbas, a powerful but equally lonely immortal being with a furry appearance, hounded by hunters. Together, Wisteria and Marbas roam the Empire–populated by humans and human-like beasts–in search of a place where they can live together in peace. <em class=de-emphasized>(from manga)</em>",,tale of outcasts
25911,"Akihabara is the center of the universe for the coolest hobbies and quirkiest amusements. In the spring of 1999, bright-eyed Nagomi Wahira moves there with dreams of joining a maid café. She quickly dons an apron at café Ton Tokoton, AKA the Pig Hut. But adjusting to life in bustling Akihabara isn't as easy as serving tea and delighting customers. Paired with the dour Ranko who never seems to smile, Nagomi must do her best to elevate the Pig Hut over all other maid cafés vying for top ranking. Along the way she'll slice out a place for herself amid the frills and thrills of life at the Pig Hut. Just when Nagomi's dreams are within her grasp, she discovers not everything is as it seems amid the maid cafés of Akihabara.",,Akiba Maid War
25872,"Himuro is a descendant of yuki-onnas living in modern times and a newbie office worker. When he gets emotionally overwhelmed, he ends up causing blizzards or starts building snowmen and igloos. Whenever his secret romantic feelings for his unique yet kind coworker Fuyutsuki intensify, he sometimes ends up freezing those around him. Then, there's Fuyutsuki. Everyone always sees her as the cool type, but Fuyutsuki is actually also pretty curious about her mysterious coworker, Himuro.",,Ice Guy and His Cool Female Colleague
25865,"Tetsuo Tosu, a 47-year-old office worker, and his wife, Kasen, love their daughter Reika more than anything in the world, even though she has been through a rebellious phase. So when Tetsuo visits Reika after she's started to live on her own, and she won't explain how she got bruises like she's been beaten, he decides to hide and find out what's going on. Enter Reiko's boyfriend, Nobuto Matori, a brute who has beaten his ex-girlfriend to death and has ties to the yakuza. After he sees that Nobuto is the one responsible for the wounds on Reika's face, Tetsuo ends up killing the man. And so begins the fight of wits over life or death between ""a normal, weak, middle-aged man"" who is prepared to do anything to protect his family, and the fearless fighters from the underworld.",,My Home Hero
25847,"Vash the Stampede is a gunman on the run with a 60 billion double dollar bounty on his head which has made it difficult for him to go anywhere without being chased and shot at. Because of the bounty, every town he ever visit ends up being destroyed because of his pursuers, and miracliously, no one ever gets killed. Meryl and Milly are two insurance agents that have been sent to find Vash the Stampede and keep him under surveillance so no more damage is caused. Meryl, who leads the pair, can't believe that the man they have met can possibly be the legendary gunman. This spikey haired, gangly, and blonde young man is extremely friendly, a pacifist, hates blood and suicide, absolutely loves donuts, and is a dork and a crybaby...there is no way he could he be Vash the Stampede, a notorious outlaw. However, there's more to Vash than just smiles and dounuts. <em class=de-emphasized>(from manga)</em>",,Trigun Stampede
25841,"Saint Cecilia is beloved by the townspeople—not only is she elegant and composed, she benevolently shares her wisdom with all who seek it. That is, until the last person has left—at which point she becomes totally hopeless. Only Pastor Lawrence, is keeping the Saint put together enough to do her duties...and though she may test him, it's all in a day's work. <em class=de-emphasized>(from manga)</em>",,Saint Cecilia and Pastor Lawrence
25838,"Koito Koganei is a teenager who works as an attendant to the Takamimi Shrine. Rumors have it that a deity dwells within the shrine, but the actual resident is an immortal elf who found herself stuck on Earth some four hundred years ago. What's more, the elf is a total shut-in who won't go outside and has developed a taste for video games. <em class=de-emphasized>(from manga)</em>",,Otaku Elf
25786,"Beast Tamer Rein is banished from the hero's party, because he can only use animals. He becomes an adventurer and meets a cat girl, who is part of the strongest species. <em class=de-emphasized>(from manga)</em>",,Beast Tamer
25783,"Goro Amemiya works as an OB-GYN in a small rural town and is a huge fan of upcoming idol Ai Hoshino. After an unexpected meeting, Goro ends up dying suddenly only to be reborn as one of Ai's children; a boy named Aquamarine Hoshino (or Aqua for short). He and his twin sister Ruby then grows up as one of show-biz's biggest secrets (from manga).",,Oshi no Ko
25731,"One year before a certain useless goddess and NEET extraordinaire hit the scene, Megumin, the ""Greatest Genius of the Crimson Magic Clan,"" is hard at work. Ever since a life-changing encounter in her youth, the young wizard has dedicated her every waking moment to the pursuit of the ultimate offensive magic, Explosion. (Well...every moment not spent hustling food from her self-proclaimed rival.) And while the big sister's away, the little one will play. On a routine trip into the woods, Megumin's little sister, Komekko, finds a strange black kitten. Little does she know that this cat plays a key role in unsealing a Dark God's tomb... <em class=de-emphasized>(from manga)</em>",,Konosuba: An Explosion on This Wonderful World!
25725,"One day, a young woman named Saku took in a stray black cat who she later named Yukichi. However, as time went on, Yukichi grew large enough to be mistaken for a bear. Instead of being a threat though, Yukichi spends his time cooking food, doing laundry, and taking care of his owner after she comes home from hard days at work. <em class=de-emphasized>(from manga)</em>",,Masterful Cat Is Depressed Again Today
25724,"Here in this magic academy city of Ashram, where everyone is required to live in dormitories, a close-knit group of girls known as ""Pentagrams"" pursue their studies, including training in manners and magic, to become ""true ladies."" Arsnotoria, one of the students in Ashram, lives in Dorm 5 and is always with her dormmate friends: Mel, who's the life of the party, Petit Albert, who's quiet and does things at her own pace, Picatrix, who wants to be the class president, and Abramelin, who's always cool. They take classes and work on their school duties together, and they throw tea parties after school in ""that room""...",,Smile of the Arsnotoria the Animation
25701,"I hired a maid who has something about her I just can't put my finger on. Sure, she looks great and is a fabulous cook, but something about her is not quite right. <em class=de-emphasized>(from manga)</em>",,Maid I Hired Recently Is Mysterious
25698,"Hime is a high school girl who deeply cares about her image as a sweet, helpful princess but on the inside only cares about herself. Against her will, Hime gets manipulated into working as a waitress at a place that's part café, part theater, where all the waitresses pretend to be students at a fictional German all-girls boarding school. Hime finds herself falling for another waitress at the café, who in front of the customers gives Hime love and devotion like she's never known. There's just one problem: Behind the scenes, Hime's crush hates her guts. <em class=de-emphasized>(from manga)</em>",,Yuri Is My Job!
25694,"First year high schooler Junta Shiraishi is a mob character who goes unnoticed even when he's standing right next to you. But his classmate, ""heroine-level beauty"" Kubo, always notices him and is there to tease him. Anyone can become special to someone, but it might be a little too early to call these feelings ""love."" <em class=de-emphasized>(from manga)</em>",,Kubo Won't Let Me Be Invisible
25602,"Touka is just your average (slightly perverted) farmer in the village of Cheza. While he daydreams about being a hero and getting the girl, the real hero, Sion, is out battling demons that threaten to invade the world. But one day, Touka accidentally kills Sion. Touka quickly buries Sion's body to hide the evidence, but wakes up the next day to discover he is no longer in his own body… <em class=de-emphasized>(from manga)</em>",,Legendary Hero is Dead!
25582,"The Iceblade Sorcerer is hailed as the most powerful sorcerer in the world. The one who inherited this title, Ray White, struggles to deal with his own immense power. After fighting in the Far East War, his last accomplishment, he vanished from the battlefield along with a deeply scarred psyche. Three years have passed since then, and Ray has enrolled at the Arnold Academy of Magic, a school attended by elite sorcerers from around the world. Ray is the first ""Ordinary"" to attend this academy since it was founded, so he's greeted by looks of scorn and contempt from its noble-born students. And now, he and the priceless friends he has found there are about to become entangled in multiple schemes. So begins the story of the most powerful sorcerer's school life filled with both friendship and hardship.",,Iceblade Sorcerer Shall Rule the World
25580,"Since his parents died, manga artist Ichiro has barely scraped by, forced to support his two younger siblings on just a middle school education. He doesn't even have time to learn how to use a computer, which forces him to keep wrestling with pen and paper. When his art assistants quit to strike out on their own, on top of juggling deadlines, family, and the constant fear of losing his job, Ichiro feel close to a total breakdown. But then a new assistant pops into Ichiro's life, and his prospects immediately start to brighten. She's an incredible artist, she always finishes on time, and she's beautiful, to boot. But she also seems to know an awful lot about him, and, soon, she makes a confession that bends Ichiro's mind beyond the confines of Earth… <em class=de-emphasized>(from manga)</em>",,Galaxy Next Door
25576,"Yukito is the heir of a questionable cult's leader. After an unfortunate death, he reincarnates in a world without the concepts of god and religion. <em class=de-emphasized>(from manga)</em>",,KamiKatsu: Working for God in a Godless World
25571,"Mahiro Oyama was just a normal erotic-game loving dude...until he woke up one morning as a woman. Turns out his mad-scientist little sister, Mihari, tried out one of her new experiments on him...with a disastrous outcome, as far as Mahiro's concerned. But Mihari is as determined to study him as he is determined to go back to his shut-in, game-playing life, and one thing's for sure...life is going to get a whole lot weirder from here on out. <em class=de-emphasized>(from manga)</em>",,ONIMAI: I'm Now Your Sister!
25519,"In the fall of his third and final year of middle school, Hajime Aono, a violin prodigy, stopped playing violin for his own personal reasons. But it was also that year when he got to know a girl who told him about a high school with a prestigious school orchestra. Suddenly, the gears in the clock of Aono's life began to turn again. <em class=de-emphasized>(from manga)</em>",,Ao no Orchestra
25495,"Miyo Saimori is the eldest daughter of the noble Saimori family, but as the un-Gifted daughter of her father's despised first wife, she's treated like a servant by her stepmother and half-sister. When escape comes in the form of being offered in marriage to the infamously cold Kiyoka Kudou, Miyo barely has enough left in her to hope, assuming that because she lacks Spirit-Sight she'll be rejected and die on the streets as her parents intended. But contrary to everyone's expectations, Miyo is not universally loathed, and her betrothal offers her the most precious chance of all: to learn to stop hating herself. <em class=de-emphasized>(from manga!)</em>",,My Happy Marriage
25490,"These girls are under 149 centimeters tall (under about 4 feet, 11 inches) and aspire to be idols despite not having a producer or gigs. However, maybe with a marvelous dress, a marvelous stage, and a marvelous prince. The new Cinderella story follows these small idols and their small rookie producer.",,[email protected] Cinderella Girls U149
25481,"These girls may seem like ordinary second-year junior high school students at first glance, but they are a space pilot, a ninja without a clan, a girl with supernatural powers, and a boy in girls' clothes.",,Little Lies We All Tell
25479,"After Hiraku dies of a serious illness, God brings him back to life, gives his health and youth back, and sends him to a fantasy world of his choice. In order to enjoy his second shot, God bestows upon him the almighty farming tool. Watch as Hiraku digs, chops, and plows in another world in this laidback farming fantasy. <em class=de-emphasized>(from manga 2)</em>",,Farming Life in Another World
