0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
"{'role': 'Aki Mizuguchi', 'name': 'Mikako Komatsu'}","{'role': 'Yori Asanagi', 'name': 'Asami Seto'}","{'role': 'Kaori Tachibana', 'name': 'Ai Kakuma'}","{'role': 'Mari Tsutsui', 'name': 'Konomi Kohara'}","{'role': 'Shiho Izumi', 'name': 'Yuna Nemoto'}","{'role': 'Himari Kino', 'name': 'Hana Shimano'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Shizuka Mikazuki', 'name': 'Tomori Kusunoki'}","{'role': 'Akira Tendō', 'name': 'Shūichirō Umeda'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Karen Helvetius', 'name': 'Yōko Hikasa'}","{'role': 'Sakuna Memoir', 'name': 'Manaka Iwami'}","{'role': 'Terakomari Gandesblood', 'name': 'Tomori Kusunoki'}","{'role': 'Karla Amatsu', 'name': 'Miyuri Shimabukuro'}","{'role': 'Villhaze', 'name': 'Sayumi Suzushiro'}","{'role': 'Nelia Cunningham', 'name': 'Fairouz Ai'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Ron Kamonohashi', 'name': 'Yōhei Azakami'}","{'role': 'Totomaru ""Toto"" Ishiki', 'name': 'Junya Enoki'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Yuki Nakamura', 'name': 'Ayane Sakura'}","{'role': 'Daigo Toake', 'name': 'Junya Enoki'}","{'role': 'Shun Onoda', 'name': 'Taku Yashiro'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Oscar', 'name': 'Yoshiki Nakajima'}","{'role': 'Tinasha', 'name': 'Atsumi Tanezaki'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Rae Taylor', 'name': 'Yū Serizawa'}","{'role': 'Claire François', 'name': 'Karin Nanami'}","{'role': 'Misha Jur', 'name': 'Aimi'}","{'role': 'Loretta Kugret', 'name': 'Sara Matsumoto'}","{'role': 'Lene Aurousseau', 'name': 'Ikumi Hasegawa'}","{'role': 'Pipi Barlier', 'name': 'Minami Kurisaka'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Shamo Yamabuki', 'name': 'Romi Park'}","{'role': 'Tsubomi Nekoashi', 'name': 'Yū Serizawa'}","{'role': 'Ramona Wolf', 'name': 'Minami Tanaka'}","{'role': 'Panda Yanagiba', 'name': 'Naomi Ōzora'}","{'role': 'Kamira Akiru', 'name': 'Yūki Wakai'}","{'role': 'Mihiro Terahara', 'name': 'Yoshino Aoyama'}","{'role': 'Hikari Yonaguni', 'name': 'Shino Shimoji'}","{'role': 'Noa Hiiragi', 'name': 'Nanako Mori'}","{'role': 'Hana Kudō', 'name': 'Yūki Kuwahara'}","{'role': 'Yae Niizuma', 'name': 'Maria Naganawa'}","{'role': 'Koyomi Senju', 'name': 'Mariko Toribe'}","{'role': 'Lilja Kurtbay', 'name': 'Yukari Anzai'}","{'role': 'Dugong', 'name': 'Hina Kino'}","{'role': 'Mito Shiromaru', 'name': 'Reina Kondo'}","{'role': 'Nikako Toneri', 'name': 'Shuka Saitō'}","{'role': 'Hatsumi Renjakuno', 'name': 'Kana Aoi'}","{'role': 'Chisa Sasuga', 'name': 'Riko Sasaki'}","{'role': 'Towa Motosu', 'name': 'Hikaru Akao'}","{'role': 'Shizuka', 'name': 'Ikumi Hasegawa'}","{'role': 'Xue Wang', 'name': 'Miharu Hanai'}","{'role': 'Kokona Ōtori', 'name': 'Manaka Iwami'}","{'role': 'Ikuko Kamiyashiki', 'name': 'Coco Hayashi'}","{'role': 'Iroha Senju', 'name': 'Miho Okasaki'}","{'role': 'Kathrina Griebel', 'name': 'Sally Amaki'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': ""Akane's Dad"", 'name': 'Jun Fukuyama'}","{'role': 'Daichi Hino', 'name': 'Kengo Kawanishi'}","{'role': 'Taiyō Takada', 'name': 'Shizuka Ishigami'}","{'role': 'Yukiko Takada', 'name': 'Atsumi Tanezaki'}","{'role': 'Kotarō Kitagawa', 'name': 'Kōhei Amasaki'}","{'role': 'Umi Adachi', 'name': 'Reina Kondo'}","{'role': 'Akane Nishimura', 'name': 'Konomi Kohara'}","{'role': 'Sumire Kasahara', 'name': 'Wakana Maruoka'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Takeru Shinoyama', 'name': 'Katsuyuki Konishi'}","{'role': 'Solitaire', 'name': 'Hiroki Takahashi'}","{'role': 'Koyū Azuma', 'name': 'Misato Fukuen'}","{'role': 'Rozan Shinoyama', 'name': 'Kazuhiro Yamaji'}","{'role': 'Fumiyo Yamada', 'name': 'Sanae Kobayashi'}","{'role': 'Gōzaburō Arase', 'name': 'Nobuhiko Okamoto'}","{'role': 'Urai', 'name': 'Kazuyuki Okitsu'}","{'role': 'Tsubaki Iwanome', 'name': 'Takuya Eguchi'}","{'role': 'Izuna Ajishiro', 'name': 'Rumi Okubo'}","{'role': 'Kochō Eightport', 'name': 'Ayane Sakura'}","{'role': 'Misaki Sakimiya', 'name': 'Inori Minase'}","{'role': 'Saki Aikawa', 'name': 'Haruka Shiraishi'}","{'role': 'Lisa Kuraki', 'name': 'Atsumi Tanezaki'}","{'role': 'Kazuki Shinoyama', 'name': 'Yū Serizawa'}","{'role': 'Saya Shinoyama', 'name': 'Yō Taichi'}","{'role': 'Takumi Kuruya', 'name': 'Yūma Uchida'}","{'role': 'Furuto Ichinose', 'name': 'Ikumi Hasegawa'}","{'role': 'Shizuki Shinoyama', 'name': 'Aoi Ichikawa'}","{'role': 'Polka Shinoyama', 'name': 'Yuki Sakakihara'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Ada', 'name': 'Kana Ueda'}","{'role': 'Auris', 'name': 'Masumi Tazawa'}","{'role': 'Noelle', 'name': 'Yuka Nukui'}","{'role': 'Niska', 'name': 'Yūri Matsuoka'}","{'role': 'Kizuna Ai', 'name': 'Kizuna Ai'}","{'role': 'Sarah', 'name': 'Hina Natsume'}","{'role': 'Halle', 'name': 'Hinaki Yano'}","{'role': 'Quan', 'name': 'Rina Kawaguchi'}","{'role': 'Ximena', 'name': 'Ruri Arai'}","{'role': 'Chris', 'name': 'Hikari Codama'}","{'role': 'Jua', 'name': 'Nozomi Nagumo'}","{'role': 'Sofia', 'name': 'Yūna Kitahara'}","{'role': 'Jessie', 'name': 'Randhi'}","{'role': 'Ellie', 'name': 'Haruka Yoshiki'}","{'role': 'Zoe', 'name': 'Nao Furuhata'}","{'role': 'Miracle', 'name': 'Ayumi Hinohara'}","{'role': 'Riz', 'name': 'Arisa Hanawa'}","{'role': 'Thea', 'name': 'Tsukino'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Sora', 'name': 'Mutsumi Tamura'}","{'role': 'Ivy', 'name': 'Aina Suzuki'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Kishar', 'name': 'Yuko Kaida'}","{'role': 'Fel', 'name': 'Satoshi Hino'}","{'role': 'Ninrir', 'name': 'Maaya Uchida'}","{'role': 'Agni', 'name': 'Yō Taichi'}","{'role': 'Mukōda (Tsuyoshi Mukōda)', 'name': 'Yūma Uchida'}","{'role': 'Sui', 'name': 'Hina Kino'}","{'role': 'Rusalka', 'name': 'Saho Shirasu'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Greed', 'name': 'Tomokazu Seki'}","{'role': 'Fate Graphite', 'name': 'Ryota Ohsaka'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Rosa', 'name': 'Kikuko Inoue'}","{'role': 'Albert', 'name': 'Toshiyuki Morikawa'}","{'role': 'Clark', 'name': 'Toshihiko Seki'}","{'role': 'Alan', 'name': 'Hiro Shimono'}","{'role': 'Callum', 'name': 'Daisuke Ono'}","{'role': 'Roderick', 'name': 'Hiroki Yasumoto'}","{'role': 'Gilbert', 'name': 'Koji Yusa'}","{'role': 'Tiara', 'name': 'Haruka Tomatsu'}","{'role': 'Steyr', 'name': 'Maaya Uchida'}","{'role': 'Arthur', 'name': 'Junya Enoki'}","{'role': 'Eric', 'name': 'Takuma Nagatsuka'}","{'role': 'Pride', 'name': 'Fairouz Ai'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Tsubasa Shiki', 'name': 'Nobunaga Shimazaki'}","{'role': 'Minami Fuyuki', 'name': 'Ayane Sakura'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Iko', 'name': 'Hiromi Igarashi'}","{'role': 'Adel', 'name': 'Yoshikuni Dōchin'}","{'role': 'Hasshu', 'name': 'Kensuke Nishi'}","{'role': 'Marie', 'name': 'Takuya Masumoto'}","{'role': 'Tetsu', 'name': 'Yōhei Azakami'}","{'role': 'Ren', 'name': 'Junya Enoki'}","{'role': 'Nitta', 'name': 'Eiji Takeuchi'}","{'role': 'Kanchi', 'name': 'Seiichirō Yamashita'}","{'role': 'Mythril', 'name': 'Katsunori Okai'}","{'role': 'Rabu', 'name': 'Yoshitaka Yamaya'}","{'role': 'Tagi', 'name': 'Mark Ishii'}","{'role': 'Silver', 'name': 'Shunichi Toki'}","{'role': 'Jango', 'name': 'Takugo Iwakawa'}","{'role': 'Mel', 'name': 'Takeo Ōtsuka'}","{'role': 'Yuku', 'name': 'Yoonhak'}","{'role': 'Tagi', 'name': 'Sunwoo'}","{'role': 'Ren', 'name': 'Juyeon'}","{'role': 'Mel', 'name': 'Q'}","{'role': 'Kanchi', 'name': 'Kevin'}","{'role': 'Tetsu', 'name': 'Hyunjae'}","{'role': 'Silver', 'name': 'Younghoon'}","{'role': 'Hasshu', 'name': 'New'}","{'role': 'Marie', 'name': 'Jacob'}","{'role': 'Jango', 'name': 'Sangyeon'}","{'role': 'Nitta', 'name': 'Eric'}","{'role': 'Rabu', 'name': 'Juhaknyeon'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Kyūtarō Kugi', 'name': 'Toshiyuki Morikawa'}","{'role': 'Ryo Ogino', 'name': 'Mitsuaki Madono'}","{'role': 'Kazuki Kurusu', 'name': 'Toshiyuki Toyonaga'}","{'role': 'Rei Suwa', 'name': 'Kouki Uchiyama'}","{'role': 'Shigeki Suwa', 'name': 'Shinshū Fuji'}","{'role': 'Anna Hanyū', 'name': 'Haruka Terui'}","{'role': 'Misaki Unasaka', 'name': 'Nanako Mori'}","{'role': 'Miri Unasaka', 'name': 'Hina Kino'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Robin Inazaki', 'name': 'Kazuya Nakai'}","{'role': 'Mimihime', 'name': 'Misato Fukuen'}","{'role': 'Director', 'name': 'Masako Isobe'}","{'role': 'Kona', 'name': 'Toshiyuki Toyonaga'}","{'role': 'Anzu', 'name': 'Misato Matsuoka'}","{'role': 'Sawatari', 'name': 'Tadashi Mutou'}","{'role': 'Tokio', 'name': 'Hibiku Yamamura'}","{'role': 'Kuku', 'name': 'Tomoyo Kurosawa'}","{'role': 'Aoshima', 'name': 'Atsumi Tanezaki'}","{'role': 'Shiro', 'name': 'Shunsuke Takeuchi'}","{'role': 'Kiruko', 'name': 'Sayaka Senbongi'}","{'role': 'Taka', 'name': 'Yūki Shin'}","{'role': 'Maru', 'name': 'Gen Sato'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Keiya Utō', 'name': 'Yuichiro Umehara'}","{'role': 'Isaku Senagaki', 'name': 'Akari Kitō'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Jinkurō Isarizawa', 'name': 'Takehito Koyasu'}","{'role': 'Gerald Kanō', 'name': 'Akio Ohtsuka'}","{'role': 'Liu', 'name': 'Daisuke Hirakawa'}","{'role': 'Sada the Pilgrim', 'name': 'Junichi Suwabe'}","{'role': 'Saimon Shishido', 'name': 'Nobuhiko Okamoto'}","{'role': 'Nio', 'name': 'Hisako Kanemoto'}","{'role': 'Raizō Kurima', 'name': 'Jun Kasama'}","{'role': 'Yūen Usui', 'name': 'Yuichiro Umehara'}","{'role': 'Teppa Murakami', 'name': 'Shunsuke Takeuchi'}","{'role': 'Sōji', 'name': 'Shouta Hayama'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
